epoch,experiment,total_epochs,neurons,batch_size,lag,direct_features,nearby_counties,nearby_features,run,train_rmse,test_rmse
1,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,18.97455949,37.65797188
2,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,18.33346929,35.94860488
3,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,18.03734306,35.1744906
4,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,17.74784431,34.45450245
5,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,17.58743723,34.01370538
6,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,17.41104745,33.46140543
7,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,17.26383632,32.95835424
8,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,17.10196728,32.41205614
9,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,16.84305702,31.87435403
10,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,16.84230357,31.71887576
11,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,16.83837975,31.46001166
12,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,16.62298788,30.99059685
13,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,16.62451682,30.81312815
14,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,16.446524,30.40036272
15,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,16.41105177,30.22371227
16,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,16.48007567,30.09544719
17,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,16.34694603,29.69495718
18,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,16.33197938,29.50130016
19,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,16.24989033,29.27132224
20,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,16.29119398,29.4119008
21,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,16.2774904,29.33972479
22,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,16.31991111,29.31639595
23,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,16.32667129,29.28881058
24,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,16.26669299,29.30491188
25,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,16.18156346,29.1179221
26,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,16.19755794,29.13281752
27,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,16.12651958,29.03763908
28,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,16.08878587,28.60384621
29,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,16.00077904,28.57358972
30,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,15.99986073,28.41681998
